Name	Description_su	SRR6825935	SRR6825934	SRR6825939	SRR6825938	SRR6825941	SRR6825940	SRR6825933	SRR6825932	SRR6825926	SRR6825925	SRR6825930	SRR6825928
LOC121926324	na	0	4.2737053527218	0	0	0	0	0	0	0	0	4.00166353897827	2.33131918068063
LOC121926323	na	14.279620164934	11.1453637662586	12.636122589424	10.0414006563289	10.6051309739964	11.4365148455981	11.6597757822745	12.0739878869199	12.4813964908288	11.4390972200407	10.9835191421526	11.2994370434391
ZNF703	na	7.05505523419852	2.88362353657588	4.83256951223865	3.74837854137987	4.68616530519475	5.92190015338522	3.76360935543063	4.07696626765895	2.92038257775393	0	4.00166353897827	4.81866699172868
LOC121926321	na	14.1962226073071	11.654860662814	13.2226406264189	10.129966423003	11.0490745605459	11.8975063450047	12.6681594824	12.3232400289762	13.2265812801744	11.6901238615358	13.3044755885823	11.2405431596884
LOC121926320	na	12.7898214240584	9.37443951370395	11.721873206715	10.2460164722753	9.83115679997129	9.87435259008025	11.404577185933	11.1099207980574	13.047456855835	11.0137288210159	10.2284108659825	10.47728747988
SIRT4	na	7.44424069002247	8.99831149086877	8.8223532063868	8.85646654014324	7.59491051730086	7.42339315130088	8.2197760006934	7.86716235965716	7.94425811150284	8.60785698346657	7.89203117608481	8.40401199175403
SIRT5	na	10.1048312081607	10.4477321318098	10.0518480193282	10.6066793140775	10.2206343753914	10.4492866522637	9.60394512448934	10.1953454560978	10.1916123785197	10.6132496117874	10.4005835417509	9.64470982110365
SIRT6	na	9.08385702994542	8.77225997144051	8.63907399030684	10.0598598380104	8.3882077768695	8.82773813804008	8.24300582049154	8.99168169257793	9.03766335076257	9.31357339467204	7.85741388357655	8.70169902255986
SIRT7	na	8.97303839384497	8.87875146779581	8.52833214591117	9.68693963614677	9.42197936440287	9.43003494081938	8.62890805538825	8.87804645792031	8.94773959534919	8.93340156565583	9.17326087518771	8.9832496198864
C6H1orf189	na	0	0	0	4.81455747149954	0	0	0	0	3.82180580619749	7.84218536468271	0	0
SIRT1	na	10.6097108244987	10.2139336077473	10.8269965505672	9.43686455873456	10.93849586721	10.1807195626313	10.4407072224081	10.7794323971214	10.1983513541565	9.12077477189851	11.2474377558254	10.7370886944401
SIRT2	na	11.6463118588539	12.0322805191045	11.6575525778843	12.5475045715668	12.2221066215193	12.0458904529189	12.0603886971973	12.0667599060314	11.9924747474898	12.2535426912789	12.0047427448461	11.914101399426
SIRT3	na	10.4386213003955	12.4316274115399	11.701175537756	11.8319778757257	10.5714041047338	10.9430327844206	11.7110708564085	10.9660280911415	11.0924206104978	11.4406281922902	11.0559114666222	11.0110190168402
LOC121914407	na	4.39648946750181	2.06695263959814	1.98029965338813	5.34267446075986	3.6143895501803	4.68220490764021	3.54178625187949	0	4.58476048684851	5.45110238450507	2.50925719393847	5.33336535731288
LOC121914406	na	11.5051420948661	10.6961034897682	10.6238433804901	10.6181426981646	11.4221760950296	11.2272598577806	10.9457956624386	10.8502701530722	11.5588248721376	12.4315416955367	11.8625214190913	10.6282707397436
